review_date,source_title,source_author,source_book_url,source_repository_url,default_branch,archive_author_id,author_state,local_title_candidates,local_collection_matches,status
2026-09-08,एक चिहान,हृदय चन्द्र सिंह प्रधान,https://sahityaras.com/book/ek-chihan/,https://github.com/sahityaras/ek-chihan,master,,onboarding-needed,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,सत्य हरिश्चन्द्र कथा,मोतीराम भट्ट,https://sahityaras.com/book/satya-harishchandra-katha/,https://github.com/sahityaras/satya-harishchandra-katha,master,motiram_bhatta,existing,archives/authors/motiram_bhatta/satya_harishchandra_katha,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,प्रश्नोत्तरमाला,भानुभक्त आचार्य,https://sahityaras.com/book/prashnottaramala/,https://github.com/sahityaras/prashnottaramala,master,bhanubhakta_acharya,existing,archives/authors/bhanubhakta_acharya/prashnottaramala,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,कवि भानुभक्तको जीवनचरित्र,मोतीराम भट्ट,https://sahityaras.com/book/kavi-bhanubhaktako-jivancharitra/,https://github.com/sahityaras/kavi-bhanubhaktako-jivancharitra,master,motiram_bhatta,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,चाडबाड,भीमनिधि तिवारी,https://sahityaras.com/book/chadbad/,https://github.com/sahityaras/chadbad,master,bhimnidhi_tiwari,existing,archives/authors/bhimnidhi_tiwari/chadbad,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,भानुभक्तको रामायण,भानुभक्त आचार्य,https://sahityaras.com/book/bhanubhaktako-ramayan/,https://github.com/sahityaras/bhanubhaktako-ramayan,master,bhanubhakta_acharya,existing,,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,भानुभक्तका फुटकर रचनाहरू,भानुभक्त आचार्य,https://sahityaras.com/book/bhanubhaktaka-futkar-rachanaharu/,https://github.com/sahityaras/bhanubhaktaka-futkar-rachanaharu,master,bhanubhakta_acharya,existing,,,deferred; 0 new works; 0 matched works; 1 deferred documents
2026-09-08,भक्तमाला,भानुभक्त आचार्य,https://sahityaras.com/book/bhaktamala/,https://github.com/sahityaras/bhaktamala,master,bhanubhakta_acharya,existing,archives/authors/bhanubhakta_acharya/bhaktamala,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,वधूशिक्षा,भानुभक्त आचार्य,https://sahityaras.com/book/badhusiksha/,https://github.com/sahityaras/badhusiksha,master,bhanubhakta_acharya,existing,archives/authors/bhanubhakta_acharya/badhushiksha,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,मुनामदन,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/munamadan/,https://github.com/sahityaras/munamadan,master,devkota,existing,archives/authors/devkota/munamadan,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,सुनको बिहान,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/sunko-bihan/,https://github.com/sahityaras/sunko-bihan,master,devkota,existing,archives/authors/devkota/sunako_bihan,,accounted; existing editions retained; 0 new works; 19 matched works; 0 deferred documents
2026-09-08,चम्पा,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/champa/,https://github.com/sahityaras/champa,master,devkota,existing,archives/authors/devkota/champa,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,भिखारी,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/bhikari/,https://github.com/sahityaras/bhikari,master,devkota,existing,archives/authors/devkota/bhikhari,,accounted; existing editions retained; 6 new works; 16 matched works; 0 deferred documents
2026-09-08,लक्ष्मी निबन्धसङ्ग्रह,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/laxmi-nibandhasangraha/,https://github.com/sahityaras/laxmi-nibandhasangraha,master,devkota,existing,,लक्ष्मी निबन्ध सङ्ग्रह,accounted; existing editions retained; 0 new works; 38 matched works; 0 deferred documents
2026-09-08,प्रमिथस,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/prometheus/,https://github.com/sahityaras/prometheus,master,devkota,existing,archives/authors/devkota/pramithas,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,म्हेन्दु,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/mhendu/,https://github.com/sahityaras/mhendu,master,devkota,existing,archives/authors/devkota/mhendu,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,लूनी,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/luni/,https://github.com/sahityaras/luni,master,devkota,existing,archives/authors/devkota/luni,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,शाकुन्तल,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/shakuntala/,https://github.com/sahityaras/shakuntala,master,devkota,existing,,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,लालित्य भाग १,लेखनाथ पौड्याल,https://sahityaras.com/book/lalitya-bhag-1/,https://github.com/sahityaras/lalitya-bhag-1,master,lekhnath_paudyal,existing,,,accounted; existing editions retained; 49 new works; 9 matched works; 0 deferred documents
2026-09-08,लालित्य भाग २,लेखनाथ पौड्याल,https://sahityaras.com/book/lalitya-bhag-2/,https://github.com/sahityaras/lalitya-bhag-2,master,lekhnath_paudyal,existing,,,accounted; existing editions retained; 33 new works; 5 matched works; 0 deferred documents
2026-09-08,बुद्धि-विनोद,लेखनाथ पौड्याल,https://sahityaras.com/book/buddhi-binod/,https://github.com/sahityaras/buddhi-binod,master,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,तरुण तपसी,लेखनाथ पौड्याल,https://sahityaras.com/book/tarun-tapasi/,https://github.com/sahityaras/tarun-tapasi,master,lekhnath_paudyal,existing,archives/authors/lekhnath_paudyal/tarun_tapasi,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,ऋतु-विचार,लेखनाथ पौड्याल,https://sahityaras.com/book/ritu-bichar/,https://github.com/sahityaras/ritu-bichar,master,lekhnath_paudyal,existing,archives/authors/lekhnath_paudyal/ritu_bichar,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
2026-09-08,बुद्धिविनोदको पहिला विनोद,लेखनाथ पौड्याल,https://sahityaras.com/book/buddhibinodko-pahila-binod/,https://github.com/sahityaras/buddhibinodko-pahila-binod,master,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
